protein,category,category_id,degree,clustering,betweenness
LIG4,DNA repair,2,6,0.9333333333333333,0.0
SOS2,RTK signaling,3,14,0.6153846153846154,0.0005118094647349232
PDPK1,PI3K-AKT-MTOR,5,21,0.5095238095238095,0.004435213025293351
CDC42,Other,13,37,0.4519519519519519,0.011032086229879886
PRKCA,Other,13,22,0.5800865800865801,0.003556594264523625
TGFBR2,TGF-beta signaling,8,28,0.3915343915343915,0.005720713490611551
ABL1,RTK signaling,3,29,0.5591133004926109,0.0003264306679261174
RAF1,MAPK signaling,6,23,0.6007905138339921,0.0007223877796781003
CRKL,Other,13,18,0.6274509803921569,0.00013788045860226348
SRC,RTK signaling,3,53,0.37590711175616837,0.029521485644906458
CRK,Other,13,16,0.7083333333333334,3.8298024675707e-05
PIK3CA,PI3K-AKT-MTOR,5,52,0.35822021116138764,0.023780954269046424
PDGFRA,RTK signaling,3,27,0.4301994301994302,0.0010874021742445807
FGFR3,RTK signaling,3,16,0.5083333333333333,0.00020540568079544725
SHC1,RTK signaling,3,28,0.5634920634920635,0.00037421699509659705
TSC2,PI3K-AKT-MTOR,5,27,0.5669515669515669,0.0011102282661415584
MCL1,Apoptosis,1,31,0.5526881720430108,0.004724857027360116
CDKN1A,Cell cycle,0,31,0.6150537634408603,0.00262265453982171
PIK3CG,PI3K-AKT-MTOR,5,21,0.6142857142857143,0.0015034266503906998
CASP3,Apoptosis,1,44,0.4143763213530655,0.013186660588319384
IRS2,Other,13,21,0.5666666666666667,0.005577954214117187
ROCK1,Other,13,21,0.5571428571428572,0.0029846229568044167
PIK3R2,PI3K-AKT-MTOR,5,21,0.5380952380952381,0.00022292824891853268
MYC,Transcription,4,58,0.3254688445251059,0.02399682733704029
TNF,Apoptosis,1,44,0.36046511627906974,0.020719405523641533
GSK3A,Wnt signaling,7,14,0.6483516483516484,0.00027624912125168925
CDKN1B,Cell cycle,0,24,0.6956521739130435,0.0017829536030618202
EP300,Transcription,4,39,0.43049932523616735,0.007723849706611255
INSR,RTK signaling,3,15,0.6095238095238096,5.672085050981524e-05
IFNGR1,JAK-STAT,10,6,0.4666666666666667,2.153881188898253e-05
VAV3,Other,13,11,0.7090909090909091,0.00010531741454511064
PLCG2,Other,13,13,0.6410256410256411,4.3070157638340206e-05
PRKCD,Other,13,22,0.6233766233766234,0.0031398783201917347
LRP6,Wnt signaling,7,10,0.6222222222222222,0.00017672303409120286
APC,Wnt signaling,7,11,0.509090909090909,0.000404239996404258
CDC20,Cell cycle,0,15,0.6571428571428571,0.00022708836938997495
NOTCH1,Notch signaling,9,39,0.4318488529014845,0.01095441553761751
CDC25A,Cell cycle,0,20,0.7842105263157895,8.596957992925099e-05
CDK6,Cell cycle,0,23,0.7154150197628458,0.0012972556659194112
CCNA1,Cell cycle,0,17,0.8088235294117647,0.0001465425452795475
CCNA2,Cell cycle,0,21,0.7095238095238096,0.0006478943466888248
HES1,Transcription,4,8,0.8571428571428571,0.0
CREBBP,Transcription,4,24,0.5760869565217391,0.00499929390406176
HEY1,Transcription,4,9,0.7777777777777778,2.2498819766997723e-05
TNFSF10,Apoptosis,1,7,0.9047619047619048,1.2833812954101646e-06
ACVR2A,TGF-beta signaling,8,9,0.6111111111111112,0.0008015500314165374
BMPR1B,TGF-beta signaling,8,9,0.5555555555555556,0.001071298801452137
ACVR1C,TGF-beta signaling,8,4,1.0,0.0
BMPR1A,TGF-beta signaling,8,12,0.4090909090909091,0.0008001723504165441
ACVR2B,TGF-beta signaling,8,9,0.3888888888888889,0.0001884339535546791
BMP2,TGF-beta signaling,8,20,0.42105263157894735,0.003814229149308476
BCL2L2,Apoptosis,1,7,1.0,0.0
LATS1,Other,13,7,0.5714285714285714,2.7123565239661206e-05
WNT2,Wnt signaling,7,10,0.5777777777777777,8.631426507277394e-05
PTCH1,Other,13,16,0.5666666666666667,0.00016776960724162153
FBXW7,Cell cycle,0,21,0.6285714285714286,0.00011768631958950982
SMARCB1,Transcription,4,16,0.5916666666666667,9.040802178788727e-05
NRP1,Angiogenesis,12,7,0.5238095238095238,8.374550037027443e-06
COL1A2,ECM-adhesion,11,8,0.6071428571428571,1.8996693873541163e-06
FZD2,Wnt signaling,7,6,0.9333333333333333,1.2088805192253467e-06
LEF1,Transcription,4,16,0.525,0.00037727065606131993
DNMT3A,Other,13,16,0.725,0.001355573230344314
RBPJL,Transcription,4,4,1.0,0.0
RELA,Transcription,4,29,0.5591133004926109,0.007026094460961569
ROCK2,Other,13,13,0.5384615384615384,0.0039017618317597064
DDR1,RTK signaling,3,7,0.5714285714285714,0.0011089620400317522
IGF2R,Other,13,7,0.2857142857142857,0.0009883218665604574
MMP3,ECM-adhesion,11,10,0.7111111111111111,1.941120833729324e-06
LIMK1,Other,13,10,0.35555555555555557,0.000486295668234731
NFKBIE,Other,13,5,1.0,0.0
TRAF1,Apoptosis,1,9,0.8333333333333334,0.0010786045789902407
MAD1L1,Cell cycle,0,3,1.0,0.0
SUFU,Other,13,7,0.8095238095238095,6.854640372702769e-06
LIMK2,Other,13,4,1.0,0.0
